index,parfamName,environWeighted,parfam,per503,pervote,avgVote
1963-01-01,ETH,78.54787400000001,3,13.922,14.036,4.6786666666666665
1963-01-01,LEF,516.5065159999999,8,59.47299999999999,95.444,11.9305
1963-01-01,LIB,382.602798,10,31.342000000000002,100.68500000000002,10.068500000000002
1963-01-01,NAT,28.907324000000003,4,9.832,16.148,4.037
1963-01-01,SIP,78.86766200000001,3,24.776,10.392,3.464
1963-01-01,SOC,2263.448672,12,75.133,316.22299999999996,26.351916666666664
1964-01-01,AGR,161.45096100000004,3,7.396,37.649,12.549666666666667
1964-01-01,CHR,1248.325652,8,40.63700000000001,277.86699999999996,34.733374999999995
1964-01-01,CON,278.78373000000005,6,12.855,129.31699999999998,21.55283333333333
1964-01-01,ETH,78.54787400000001,3,13.922,14.036,4.6786666666666665
1964-01-01,LEF,640.789716,9,64.308,105.262,11.695777777777778
1964-01-01,LIB,507.56841000000003,11,46.18299999999999,107.92600000000002,9.811454545454547
1964-01-01,NAT,28.907324000000003,4,9.832,16.148,4.037
1964-01-01,SIP,52.396062000000015,3,13.976000000000003,9.542,3.1806666666666668
1964-01-01,SOC,1953.2734720000003,11,64.704,312.34599999999995,28.395090909090904
1965-01-01,AGR,161.45096100000004,3,7.396,37.649,12.549666666666667
1965-01-01,CHR,1516.790047,8,48.409,275.197,34.399625
1965-01-01,CON,278.78373000000005,6,12.855,133.164,22.194
1965-01-01,ETH,82.11651,4,15.568,18.336,4.584
1965-01-01,LEF,600.434716,8,57.30800000000001,99.497,12.437125
1965-01-01,LIB,378.50287,9,34.684,90.615,10.068333333333333
1965-01-01,NAT,27.436574,4,9.832,15.773,3.94325
1965-01-01,SIP,52.396062000000015,3,13.976000000000003,9.542,3.1806666666666668
1965-01-01,SOC,1801.51821,11,57.87400000000001,310.698,28.245272727272724
1966-01-01,AGR,233.65503099999998,3,11.331,35.92,11.973333333333334
1966-01-01,CHR,1592.434847,8,49.509,278.11400000000003,34.764250000000004
1966-01-01,CON,213.66029400000002,6,10.151000000000002,130.938,21.822999999999997
1966-01-01,ETH,50.787774000000006,3,11.016,11.466,3.8219999999999996
1966-01-01,LEF,810.91567,9,72.568,109.111,12.123444444444445
1966-01-01,LIB,544.05716,12,46.068,116.498,9.708166666666667
1966-01-01,NAT,67.908377,5,30.721000000000004,15.109,3.0218
1966-01-01,SIP,52.534278000000015,3,17.319000000000003,8.952,2.984
1966-01-01,SOC,2055.073479,12,72.903,331.031,27.585916666666666
1967-01-01,AGR,233.65503099999998,3,11.331,35.92,11.973333333333334
1967-01-01,CHR,1499.955047,10,47.009,296.997,29.6997
1967-01-01,CON,459.5474940000001,7,21.751,133.455,19.065
1967-01-01,ETH,50.787774000000006,3,11.016,11.466,3.8219999999999996
1967-01-01,LEF,618.88127,8,58.768,98.846,12.35575
1967-01-01,LIB,480.990676,10,51.384,98.14999999999999,9.815
1967-01-01,NAT,67.908377,5,30.721000000000004,15.109,3.0218
1967-01-01,SIP,52.534278000000015,3,17.319000000000003,8.952,2.984
1967-01-01,SOC,1511.836338,11,54.87400000000001,298.284,27.11672727272727
1968-01-01,AGR,310.2404,3,16.080000000000002,38.418,12.806
1968-01-01,CHR,1006.6040630000001,9,30.196000000000005,275.248,30.58311111111111
1968-01-01,CON,519.1588940000001,7,25.951,138.019,19.717000000000002
1968-01-01,ETH,71.66920400000001,5,13.822,25.82,5.164
1968-01-01,LEF,697.9362160000001,10,82.64,106.886,10.6886
1968-01-01,LIB,474.259417,13,46.596,123.38300000000001,9.491000000000001
1968-01-01,NAT,67.908377,5,30.721000000000004,14.453999999999999,2.8907999999999996
1968-01-01,SIP,48.41046200000001,3,11.476000000000003,8.98,2.9933333333333336
1968-01-01,SOC,1524.5906210000003,11,53.298,290.96000000000004,26.450909090909093
1969-01-01,AGR,310.2404,3,16.080000000000002,38.418,12.806
1969-01-01,CHR,899.4416540000002,8,25.703000000000003,262.06,32.7575
1969-01-01,CON,510.4288940000001,6,21.451,134.065,22.344166666666666
1969-01-01,ETH,53.293324000000005,3,10.922,13.518,4.506
1969-01-01,LEF,669.807216,8,78.04,99.72999999999999,12.466249999999999
1969-01-01,LIB,370.299252,9,36.925,93.459,10.384333333333334
1969-01-01,NAT,67.908377,5,30.721000000000004,14.453999999999999,2.8907999999999996
1969-01-01,SIP,48.41046200000001,3,11.476000000000003,8.98,2.9933333333333336
1969-01-01,SOC,1881.2843700000003,11,66.27399999999999,295.987,26.907909090909094
1970-01-01,AGR,246.70638,3,13.379999999999999,38.554,12.851333333333335
1970-01-01,CHR,771.1161520000003,9,25.426,259.531,28.83677777777778
1970-01-01,CON,592.3322150000001,6,25.947000000000003,136.988,22.831333333333333
1970-01-01,ETH,70.344288,3,14.157,13.236,4.412
1970-01-01,LEF,775.228277,8,85.61000000000001,96.857,12.107125
1970-01-01,LIB,508.82108600000004,9,46.63,94.896,10.544
1970-01-01,NAT,246.60061700000006,5,35.821,24.083,4.816599999999999
1970-01-01,SIP,48.41046200000001,3,11.476000000000003,8.98,2.9933333333333336
1970-01-01,SOC,2275.5699730000006,11,79.491,317.91600000000005,28.901454545454552
1971-01-01,AGR,246.70638,3,13.379999999999999,38.554,12.851333333333335
1971-01-01,CHR,790.595808,14,42.876999999999995,285.51800000000003,20.39414285714286
1971-01-01,CON,504.80571500000013,6,21.647,133.323,22.2205
1971-01-01,ETH,138.795448,5,20.541,32.197,6.439400000000001
1971-01-01,LEF,864.955777,10,94.11,106.93099999999998,10.693099999999998
1971-01-01,LIB,566.737733,13,51.98000000000001,118.11699999999999,9.085923076923077
1971-01-01,NAT,210.87341700000005,5,29.421000000000003,24.014,4.8027999999999995
1971-01-01,SIP,59.11986200000001,3,16.876,9.982,3.3273333333333333
1971-01-01,SOC,3194.7296930000007,12,115.31500000000001,324.785,27.065416666666668
1972-01-01,AGR,334.97976,3,19.066,37.843,12.614333333333335
1972-01-01,CHR,959.2598499999999,13,52.531,268.301,20.63853846153846
1972-01-01,CON,819.5069480000001,6,39.73199999999999,132.867,22.144499999999997
1972-01-01,ETH,89.15338399999999,3,17.392,16.204,5.4013333333333335
1972-01-01,LEF,688.462541,8,65.774,97.12899999999999,12.141124999999999
1972-01-01,LIB,539.4133690000001,11,53.466,103.555,9.414090909090909
1972-01-01,NAT,247.489853,5,35.952000000000005,26.907000000000004,5.381400000000001
1972-01-01,SIP,59.11986200000001,3,16.876,9.982,3.3273333333333333
1972-01-01,SOC,3327.8944510000006,13,110.16199999999999,336.287,25.868230769230767
1973-01-01,AGR,340.01526,3,17.965999999999998,43.025,14.341666666666667
1973-01-01,CHR,1283.8955500000002,11,59.230999999999995,260.27500000000003,23.66136363636364
1973-01-01,CON,1099.018448,8,64.832,127.22099999999999,15.902624999999999
1973-01-01,ETH,89.15338399999999,3,17.392,16.204,5.4013333333333335
1973-01-01,LEF,686.7913410000001,10,68.074,108.59899999999999,10.8599
1973-01-01,LIB,486.73755500000004,10,52.839,87.58699999999999,8.7587
1973-01-01,NAT,287.224853,6,38.452000000000005,42.801,7.133500000000001
1973-01-01,SIP,62.41926200000001,3,15.376000000000001,11.119,3.7063333333333333
